date,open,high,close,low,volume,p_change
2017/1/3,9.11,9.18,9.16,9.09,459840.47,0.66
2017/1/4,9.15,9.18,9.16,9.14,449329.53,0
2017/1/5,9.17,9.18,9.17,9.15,344372.91,0.11
2017/1/6,9.17,9.17,9.13,9.11,358154.19,-0.44
2017/1/9,9.13,9.17,9.15,9.11,361081.56,0.22
2017/1/10,9.15,9.16,9.15,9.14,241053.95,0
2017/1/11,9.14,9.17,9.14,9.13,303430.88,-0.11
2017/1/12,9.13,9.17,9.15,9.13,428006.75,0.11
2017/1/13,9.14,9.19,9.16,9.12,434301.38,0.11
2017/1/16,9.15,9.16,9.14,9.07,683165.81,-0.22
2017/1/17,9.12,9.16,9.15,9.1,545552.38,0.11
2017/1/18,9.14,9.19,9.17,9.13,574269.38,0.22
2017/1/19,9.15,9.24,9.18,9.15,437712.88,0.11
2017/1/20,9.17,9.23,9.22,9.17,393328.56,0.44
2017/1/23,9.22,9.26,9.22,9.2,420299.31,0
2017/1/24,9.23,9.28,9.27,9.2,470244.09,0.54
2017/1/25,9.27,9.28,9.26,9.25,304401.97,-0.11
2017/1/26,9.27,9.34,9.33,9.26,420712.56,0.76
2017/2/2,9.45,10.26,10.26,9.33,19345,9.97
2017/2/3,9.34,9.36,9.26,9.23,315472.25,-0.75
2017/2/6,9.26,9.32,9.31,9.26,516786.12,0.54
2017/2/7,9.31,9.32,9.3,9.27,396884.97,-0.11
2017/2/8,9.29,9.3,9.3,9.24,360272.41,0
2017/2/9,9.3,9.33,9.31,9.28,342855.12,0.11
2017/2/10,9.32,9.36,9.33,9.31,482743.25,0.21
2017/2/13,9.34,9.44,9.41,9.33,638364.75,0.86
2017/2/14,9.41,9.42,9.4,9.37,362404.59,-0.11
2017/2/15,9.4,9.54,9.45,9.39,756613.06,0.53
2017/2/16,9.45,9.5,9.46,9.42,411161.12,0.11
2017/2/17,9.46,9.49,9.39,9.37,423774.97,-0.74
2017/2/20,9.4,9.58,9.56,9.4,898755.38,1.81
2017/2/21,9.55,9.62,9.57,9.54,646584.19,0.1
2017/2/22,9.57,9.57,9.57,9.5,462966.12,0
2017/2/23,9.55,9.57,9.51,9.48,335327.81,-0.63
2017/2/24,9.5,9.54,9.5,9.48,332500.12,-0.1
2017/2/27,9.5,9.5,9.43,9.42,407341.12,-0.74
2017/2/28,9.43,9.51,9.48,9.42,369719.69,0.53
2017/3/1,9.49,9.55,9.49,9.47,346993.72,0.1
2017/3/2,9.51,9.54,9.43,9.42,403628.72,-0.63
2017/3/3,9.41,9.43,9.4,9.36,342655.09,-0.32
2017/3/6,9.4,9.46,9.45,9.39,404511.38,0.53
2017/3/7,9.44,9.46,9.45,9.4,294672.81,0
2017/3/8,9.43,9.45,9.42,9.4,244438.41,-0.32
2017/3/9,9.41,9.43,9.38,9.36,378169.91,-0.42
2017/3/10,9.38,9.41,9.4,9.36,390182.25,0.21
2017/3/13,9.39,9.45,9.44,9.37,545304.44,0.43
2017/3/14,9.43,9.46,9.44,9.41,404484.38,0
2017/3/15,9.42,9.48,9.48,9.42,546560.88,0.42
2017/3/16,9.48,9.53,9.52,9.45,635953.81,0.42
2017/3/17,9.45,9.46,9.31,9.3,1583647,-2.21
2017/3/20,9.29,9.31,9.25,9.22,715021.75,-0.64
2017/3/21,9.25,9.26,9.24,9.2,554648.75,-0.11
2017/3/22,9.2,9.22,9.16,9.14,566123.62,-0.87
2017/3/23,9.16,9.24,9.2,9.15,433588.28,0.44
2017/3/24,9.2,9.24,9.19,9.16,710827.81,-0.11
2017/3/27,9.12,9.19,9.14,9.08,985012.06,-0.54
2017/3/28,9.16,9.17,9.12,9.1,481372.75,-0.22
2017/3/29,9.13,9.15,9.11,9.09,601140.69,-0.11
2017/3/30,9.12,9.12,9.08,9.06,687285.5,-0.33
2017/3/31,9.08,9.18,9.17,9.08,633121.19,0.99
2017/4/5,9.16,9.22,9.21,9.15,499150.09,0.44
2017/4/6,9.2,9.22,9.2,9.17,434391.47,-0.11
2017/4/7,9.19,9.22,9.2,9.17,514844.75,0
2017/4/10,9.2,9.21,9.18,9.17,401343.91,-0.22
2017/4/11,9.17,9.19,9.15,9.09,612437.94,-0.33
2017/4/12,9.16,9.17,9.12,9.1,455336.53,-0.33
2017/4/13,9.11,9.14,9.12,9.1,357442.56,0
2017/4/14,9.11,9.12,9.08,9.06,490500.47,-0.44
2017/4/17,9.08,9.11,9.1,9.05,531892.19,0.22
2017/4/18,9.09,9.1,9.05,9.05,335376.97,-0.55
2017/4/19,9.03,9.04,8.91,8.9,799668.56,-1.55
2017/4/20,8.9,8.94,8.92,8.89,437630,0.11
2017/4/21,8.92,8.99,8.97,8.9,325408.16,0.56
2017/4/24,8.97,8.98,8.93,8.89,394995.28,-0.45
2017/4/25,8.93,9.01,9,8.93,377933.38,0.78
2017/4/26,9,9.01,8.99,8.96,382147.03,-0.11
2017/4/27,8.97,8.98,8.97,8.91,387392.56,-0.22
2017/4/28,8.96,8.99,8.99,8.92,286446.38,0.22
2017/5/2,8.96,8.96,8.94,8.9,311026.09,-0.56
2017/5/3,8.92,8.93,8.91,8.89,280310.75,-0.34
2017/5/4,8.89,8.89,8.74,8.72,696517.06,-1.91
2017/5/5,8.74,8.76,8.63,8.58,623700.81,-1.26
2017/5/8,8.6,8.62,8.57,8.54,460089.88,-0.69
2017/5/9,8.56,8.64,8.64,8.55,324194.47,0.82
2017/5/10,8.63,8.8,8.67,8.62,573077.69,0.35
2017/5/11,8.65,8.72,8.7,8.6,503643.56,0.35
2017/5/12,8.68,8.9,8.9,8.64,917968.19,2.3
2017/5/15,8.89,8.95,8.86,8.81,536578.19,-0.45
2017/5/16,8.84,8.85,8.84,8.73,524872.31,-0.23
2017/5/17,8.81,8.81,8.77,8.75,417338,-0.79
2017/5/18,8.72,8.77,8.73,8.71,227401.12,-0.46
2017/5/19,8.74,8.76,8.69,8.68,294270.84,-0.46
2017/5/22,8.68,8.73,8.68,8.61,679120.06,-0.12
2017/5/23,8.67,8.84,8.79,8.64,800040.19,1.27
2017/5/24,8.78,8.83,8.81,8.68,532376.69,0.23
2017/5/25,8.79,9.14,9.1,8.78,1621543.62,3.29
2017/5/26,9.08,9.13,9.1,9.04,895365.75,0
2017/5/30,9.11,9.11,9.11,9.11,12,0.11
2017/5/31,9.1,9.23,9.2,9.06,1033210.94,1.1
2017/6/1,9.2,9.23,9.19,9.12,566182.75,-0.11
2017/6/2,9.18,9.29,9.17,9.14,770757.06,-0.22
2017/6/5,9.13,9.17,9.03,8.99,634132.69,-1.53
