date,open,high,close,low,volume,p_chang
2017/1/3,9.11,9.18,9.16,9.09,459840,0.66
2017/1/4,9.15,9.18,9.16,9.14,449330,0
2017/1/5,9.17,9.18,9.17,9.15,344373,0.11
2017/1/6,9.17,9.17,9.13,9.11,358154,-0.44
2017/1/9,9.13,9.17,9.15,9.11,361082,0.22
2017/1/10,9.15,9.16,9.15,9.14,241054,0
2017/1/11,9.14,9.17,9.14,9.13,303431,-0.11
2017/1/12,9.13,9.17,9.15,9.13,428007,0.11
2017/1/13,9.14,9.19,9.16,9.12,434301,0.11
2017/1/16,9.15,9.16,9.14,9.07,683166,-0.22
2017/1/17,9.12,9.16,9.15,9.1,545552,0.11
2017/1/18,9.14,9.19,9.17,9.13,574269,0.22
2017/1/19,9.15,9.24,9.18,9.15,437713,0.11
2017/1/20,9.17,9.23,9.22,9.17,393329,0.44
2017/1/23,9.22,9.26,9.22,9.2,420299,0
2017/1/24,9.23,9.28,9.27,9.2,470244,0.54
2017/1/25,9.27,9.28,9.26,9.25,304402,-0.11
2017/1/26,9.27,9.34,9.33,9.26,420713,0.76
2017/2/3,9.34,9.36,9.26,9.23,315472,-0.75
2017/2/6,9.26,9.32,9.31,9.26,516786,0.54
2017/2/7,9.31,9.32,9.3,9.27,396885,-0.11
2017/2/8,9.29,9.3,9.3,9.24,360272,0
2017/2/9,9.3,9.33,9.31,9.28,342855,0.11
2017/2/10,9.32,9.36,9.33,9.31,482743,0.21
2017/2/13,9.34,9.44,9.41,9.33,638365,0.86
2017/2/14,9.41,9.42,9.4,9.37,362405,-0.11
2017/2/15,9.4,9.54,9.45,9.39,756613,0.53
2017/2/16,9.45,9.5,9.46,9.42,411161,0.11
2017/2/17,9.46,9.49,9.39,9.37,423775,-0.74
2017/2/20,9.4,9.58,9.56,9.4,898755,1.81
2017/2/21,9.55,9.62,9.57,9.54,646584,0.1
2017/2/22,9.57,9.57,9.57,9.5,462966,0
2017/2/23,9.55,9.57,9.51,9.48,335328,-0.63
2017/2/24,9.5,9.54,9.5,9.48,332500,-0.11
2017/2/27,9.5,9.5,9.43,9.42,407341,-0.74
2017/2/28,9.43,9.51,9.48,9.42,369720,0.53
2017/3/1,9.49,9.55,9.49,9.47,346994,0.11
2017/3/2,9.51,9.54,9.43,9.42,403629,-0.63
2017/3/3,9.41,9.43,9.4,9.36,342655,-0.32
2017/3/6,9.4,9.46,9.45,9.39,404511,0.53
2017/3/7,9.44,9.46,9.45,9.4,294673,0
2017/3/8,9.43,9.45,9.42,9.4,244438,-0.32
2017/3/9,9.41,9.43,9.38,9.36,378170,-0.42
2017/3/10,9.38,9.41,9.4,9.36,390182,0.21
2017/3/13,9.39,9.45,9.44,9.37,545304,0.43
2017/3/14,9.43,9.46,9.44,9.41,404484,0
2017/3/15,9.42,9.48,9.48,9.42,546561,0.42
2017/3/16,9.48,9.53,9.52,9.45,635954,0.42
2017/3/17,9.45,9.46,9.31,9.3,1583647,-2.21
2017/3/20,9.29,9.31,9.25,9.22,715022,-0.64
