date,open,high,close,low,volume,p_change
2021-03-11,6.59,6.65,6.64,6.49,37096.64,0.91
2021-03-12,6.66,6.95,6.81,6.66,89390.7,2.56
2021-03-15,6.7,6.8,6.71,6.65,58216.74,-1.47
2021-03-16,6.69,6.8,6.79,6.67,43339.91,1.19
2021-03-17,6.8,6.87,6.81,6.75,53735.91,0.29
2021-03-18,6.81,6.83,6.7,6.68,45730.92,-1.61
2021-03-19,6.66,6.73,6.63,6.6,38184.92,-1.04
2021-03-22,6.64,6.71,6.69,6.61,39200.15,0.91
2021-03-23,6.69,6.75,6.58,6.57,45201.0,-1.64
2021-03-24,6.6,6.6,6.54,6.5,32834.0,-0.61
2021-03-25,6.52,6.55,6.48,6.47,38593.72,-0.92
2021-03-26,6.5,6.55,6.52,6.45,31486.16,0.62
2021-03-29,6.51,6.51,6.45,6.43,44536.19,-1.07
2021-03-30,6.45,6.48,6.33,6.33,46661.0,-1.86
2021-03-31,6.3,6.45,6.38,6.3,31574.0,0.79
2021-04-01,6.39,6.55,6.49,6.39,43866.0,1.72
2021-04-02,6.51,6.53,6.45,6.4,30128.0,-0.62
2021-04-06,6.5,6.62,6.57,6.45,58192.49,1.86
2021-04-07,6.54,6.62,6.55,6.5,46817.8,-0.3
2021-04-08,6.54,6.65,6.55,6.48,43752.0,0.0
2021-04-09,6.56,6.69,6.6,6.52,61715.85,0.76
