date,open,high,close,low,volume,p_change
2021-03-11,4.83,4.94,4.9,4.82,32473.45,1.24
2021-03-12,4.94,4.97,4.97,4.87,29293.55,1.43
2021-03-15,4.98,5.15,5.13,4.97,55287.68,3.22
2021-03-16,5.11,5.18,5.13,5.05,59090.4,0.0
2021-03-17,5.15,5.39,5.39,5.14,66155.21,5.07
2021-03-18,5.45,5.66,5.66,5.39,32354.84,5.01
2021-03-19,5.74,5.94,5.57,5.5,138338.41,-1.59
2021-03-22,5.5,5.64,5.59,5.38,57466.93,0.36
2021-03-23,5.5,5.78,5.75,5.5,57867.33,2.86
2021-03-24,5.77,5.9,5.76,5.74,46242.1,0.17
2021-03-25,5.76,5.83,5.82,5.53,85182.1,1.04
2021-03-26,5.81,5.84,5.8,5.7,44991.01,-0.34
2021-03-29,5.8,5.82,5.72,5.68,41736.02,-1.38
2021-03-30,5.71,5.83,5.76,5.68,39054.72,0.7
2021-03-31,5.76,5.85,5.76,5.72,31945.24,0.0
2021-04-01,5.8,5.83,5.77,5.75,18934.26,0.17
2021-04-02,5.78,6.06,6.06,5.78,52062.9,5.03
2021-04-06,6.17,6.36,6.36,6.12,108456.23,4.95
2021-04-07,6.4,6.68,6.47,6.36,127989.18,1.73
2021-04-08,6.4,6.78,6.75,6.24,88193.76,4.33
2021-04-09,6.75,7.09,7.09,6.7,74140.64,5.04
